File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,0,194.56476723415423,180.12611430458082,0.0
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,1,188.67970410230282,182.58811997464795,6.379297765845346
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,2,188.63967723085992,182.5531113974337,0.053176601208363816
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,3,188.56434672302686,182.5287825122907,0.07916173357556085
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,4,188.53258419315603,182.61251185147052,0.0895514407661081
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,5,188.48032981650908,182.36614709735068,0.2518454128057308
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,6,188.2883887347868,182.4886672228396,0.2277115719557244
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,7,188.35554657563438,182.60588834875333,0.13509614334905634
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,8,188.41321564542778,182.87660528857282,0.27679122658796096
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,9,188.40942149517628,183.134921045974,0.25834362019969165
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,10,188.69715046022932,183.0172181600531,0.31087284648970487
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,11,188.63141676198453,182.86928257266152,0.16188223219929895
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,12,188.93217352471962,183.22703056596487,0.4673737872875035
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,13,189.01131759886627,183.4012138875952,0.1913207098217646
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,14,189.05227129958925,183.73931578281994,0.3405731891348426
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,15,189.0968792505415,183.87038244699784,0.13844977337243375
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,16,189.4533074959517,184.6813361800637,0.8858256325596296
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,17,189.96594046705488,185.75872624475235,1.1931311388744659
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,18,190.50550019184016,186.32577802097143,0.7827339353340773
Cage_5_Mouse_1.mp4,99.0,True,0.9,100.0,0.0,19,190.64621445390324,186.628908545849,0.3341984719601562
